"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"OHL","Taylor Hall","DY","26143/taylor-hall","F","2010","57","0.7895","0.5789","1.4386","22","23","10","45","14","19","13","33","4","0","1","0","0.00","0","0.00","0","0.00","40","82","106","1.8596","46.15","78","35","69.03","9.64","117","80","17.23","5.0101","1991-11-14","18.84","19.13","4","WSR","-","L","2010","EDM (2010) - #1","EDM","BOS",""
"OHL","Tyler Seguin","DY","26526/tyler-seguin","F","2010","63","0.8730","0.5238","1.3968","35","20","8","55","13","20","10","33","0","0","0","0","0.00","0","0.00","0","0.00","48","88","106","1.6825","54.55","79","58","57.66","8.74","68","71","20.92","4.0053","1992-01-31","18.63","18.92","9","PLY","-","R","2010","BOS (2010) - #2","BOS","DAL",""
"WHL","Jordan Eberle","DY+2","23394/jordan-eberle","F","2010","57","0.7368","0.5439","1.3860","25","17","11","42","19","12","16","31","6","0","0","0","0.00","0","0.00","0","0.00","50","79","106","1.8596","60.27","61","55","52.59","7.85","68","84","16.70","4.9798","1990-05-15","20.33","20.63","7","REG","-","R","2008","EDM (2008) - #22","EDM","SEA",""
"QMJHL","Luke Adam","DY+2","23596/luke-adam","F","2010","56","0.8929","0.4464","1.3571","32","18","6","50","17","8","8","25","0","1","0","0","0.00","0","0.00","275","17.82","49","76","90","1.6071","65.33","66","28","70.21","22.66","68","75","21.81","3.7336","1990-06-18","20.24","20.54","19","CAP","-","L","2008","BUF (2008) - #44","BUF","-",""
"WHL","Brayden Schenn","DY+1","25833/brayden-schenn","F","2010","59","0.8644","0.3559","1.3390","27","24","13","51","7","14","7","21","0","7","0","0","0.00","0","0.00","0","0.00","34","79","99","1.6780","47.22","74","36","67.27","8.13","110","76","15.75","5.0999","1991-08-22","19.06","19.36","10","BDN","-","L","2009","LAK (2009) - #5","LAK","STL",""
"QMJHL","Mike Hoffman (89)","DY+2","22294/mike-hoffman","F","2010","56","0.7143","0.5357","1.2679","28","12","5","40","17","13","9","30","1","0","0","0","0.00","0","0.00","265","17.36","46","71","85","1.5179","64.29","66","24","73.33","7.82","114","60","20.46","3.7179","1989-11-24","20.81","21.10","27","SNB","-","L","2008","OTT (2009) - #130","OTT","STL",""
"OHL","Nazem Kadri","DY+1","24084/nazem-kadri","F","2010","56","0.6964","0.4464","1.2679","21","18","12","39","11","14","10","25","3","4","0","0","0.00","0","0.00","0","0.00","35","71","93","1.6607","50.00","66","37","64.08","7.91","82","64","20.71","3.6724","1990-10-06","19.94","20.24","91","LDN","-","L","2009","TOR (2009) - #7","TOR","COL",""
"OHL","Taylor Beck","DY+1","25302/taylor-beck","F","2010","61","0.8033","0.4262","1.2623","22","27","7","49","16","10","9","26","1","1","0","0","0.00","0","0.00","0","0.00","39","77","93","1.5246","50.67","68","50","57.63","10.26","81","90","18.18","4.1666","1991-05-13","19.34","19.63","19","GUE","-","R","2009","NSH (2009) - #70","NSH","-",""
"QMJHL","Sean Couturier","DY-1","28274/sean-couturier","F","2010","68","0.8088","0.3676","1.2500","28","27","4","55","10","15","6","25","3","2","1","0","0.00","0","0.00","262","15.65","41","85","96","1.4118","47.50","85","26","76.58","16.48","128","85","20.38","3.6797","1992-12-07","17.77","18.07","7","DRU","-","L","2011","PHI (2011) - #8","PHI","PHI",""
"QMJHL","Gabriel Dumont","DY+1","24086/gabriel-dumont","F","2010","62","0.7742","0.4032","1.2419","33","15","10","48","16","9","6","25","2","2","0","0","0.00","0","0.00","324","15.74","51","77","93","1.5000","67.12","72","30","70.59","9.39","123","78","21.03","3.5442","1990-10-06","19.94","20.24","40","DRU","-","R","2009","MTL (2009) - #139","MTL","MIN",""
"OHL","Jeremy Morin","DY+1","25130/jeremy-morin","F","2010","58","0.6897","0.5517","1.2414","24","16","4","40","23","9","7","32","0","0","0","0","0.00","0","0.00","0","0.00","47","72","83","1.4310","65.28","56","45","55.45","6.03","84","86","17.93","4.1552","1991-04-16","19.41","19.71","61","KIT","-","R","2009","WPG (2009) - #45","WPG","-",""
"OHL","Jeff Skinner","DY","27317/jeff-skinner","F","2010","64","0.5781","0.6094","1.2188","28","9","7","37","21","18","5","39","1","1","0","0","0.00","0","0.00","0","0.00","50","78","90","1.4063","64.47","68","56","54.84","6.73","89","96","19.20","3.8081","1992-05-16","18.33","18.63","53","KIT","-","L","2010","CAR (2010) - #7","CAR","BUF",""
"AHL","Alexandre Giroux","DY+11","8346/alexandre-giroux","F","2010","69","0.7826","0.4348","1.2174","33","21","8","54","17","13","11","30","0","0","0","0","0.00","0","0.00","253","19.76","50","84","103","1.4928","59.52","77","40","65.81","0.74","136","73","19.88","3.6746","1981-06-16","29.25","29.54","12","HER","6'02","L","1999","OTT (1999) - #213","OTT","-",""
"NCAA","Gustav Nyquist","DY+3","22010/gustav-nyquist","F","2010","39","0.6667","0.5385","1.2051","12","14","7","26","7","14","6","21","0","0","1","0","0.00","0","0.00","0","0.00","19","47","61","1.5641","40.43","41","23","64.06","28.71","35","64","20.22","3.5763","1989-09-01","21.04","21.33","89","MNE","5'11","L","2007","DET (2008) - #121","DET","CBJ",""
"WHL","Brandon Kozun","DY+2","22891/brandon-kozun","F","2010","65","0.6154","0.5231","1.1692","16","24","12","40","14","20","19","34","2","0","0","0","0.00","0","0.00","0","0.00","32","76","107","1.6462","40.54","60","40","60.00","7.48","73","66","15.42","4.5509","1990-03-08","20.52","20.81","15","CAL","-","R","2008","LAK (2009) - #179","LAK","-",""
"OHL","Bryan Cameron","DY+3","20969/bryan-cameron","F","2010","62","0.7903","0.3710","1.1613","35","14","3","49","18","5","3","23","0","0","0","0","0.00","0","0.00","0","0.00","53","72","78","1.2581","73.61","71","30","70.30","6.32","119","67","16.85","4.1364","1989-02-25","21.56","21.85","23","BAR","-","R","2007","LAK (2007) - #82","LAK","-",""
"NCAA","Cory Conacher","DY+2","22347/cory-conacher","F","2010","35","0.7429","0.3714","1.1429","13","13","4","26","7","6","9","13","0","1","0","0","0.00","0","0.00","0","0.00","20","40","53","1.5143","51.28","31","18","63.27","15.35","46","50","19.38","3.5376","1989-12-14","20.75","21.05","19","CNS","5'08","L","2008","-","-","-",""
"NCAA","Bobby Butler","DY+5","17927/bobby-butler","F","2010","39","0.8462","0.2051","1.1282","20","13","5","33","7","1","4","8","2","1","0","0","0.00","0","0.00","0","0.00","29","44","53","1.3590","65.85","47","32","59.49","14.67","52","64","21.81","3.1042","1987-04-26","23.39","23.68","12","UNH","6'00","R","2005","-","-","-",""
"QMJHL","Nicolas Deschamps","DY+2","22433/nicolas-deschamps","F","2010","64","0.5938","0.4844","1.1250","23","15","13","38","14","17","11","31","2","1","0","0","0.00","0","0.00","200","19.50","39","72","96","1.5000","53.62","70","50","58.33","7.68","78","76","21.22","3.1817","1990-01-06","20.69","20.99","57","CHI/MON","-","L","2008","ANA (2008) - #35","ANA","-",""
"OHL","Adam Henrique","DY+2","22657/adam-henrique","F","2010","54","0.7037","0.4074","1.1111","25","13","10","38","13","9","7","22","0","0","0","0","0.00","0","0.00","0","0.00","38","60","77","1.4259","63.33","67","29","69.79","12.37","116","86","15.28","4.3634","1990-02-06","20.61","20.90","14","WSR","-","L","2008","NJD (2008) - #82","NJD","ANA",""
"AHL","Keith Aucoin","DY+13","4905/keith-aucoin","F","2010","72","0.6944","0.4167","1.1111","26","24","17","50","9","21","9","30","0","0","0","0","0.00","0","0.00","183","19.13","35","80","106","1.4722","43.75","87","54","61.70","- 3.66","134","71","20.07","3.3221","1978-11-06","31.86","32.15","11","HER","5'08","R","1997","-","-","-",""
"SHL","Jan Hlavac","DY+15","3214/jan-hlavac","F","2010","38","0.7105","0.3947","1.1053","21","6","4","27","9","6","5","15","0","0","0","99","21.21","32","28.13","133","22.56","30","42","51","1.3421","71.43","40","21","65.57","14.97","42","41","19.47","3.4066","1976-09-20","33.99","34.28","27","LHC","6'00","L","1995","-","-","-",""
"OHL","Luke Pither","DY+3","21365/luke-pither","F","2010","67","0.6418","0.4478","1.1045","17","26","13","43","18","12","7","30","1","0","0","0","0.00","0","0.00","0","0.00","36","74","94","1.4030","47.95","73","33","68.87","4.93","133","75","17.07","3.8828","1989-04-26","21.39","21.68","9","BAR","-","L","2007","-","-","-",""
"NCAA","Brian O'Neill","DY+4","19790/brian-o-neill","F","2010","34","0.6176","0.4706","1.0882","10","11","4","21","6","10","4","16","0","0","0","0","0.00","0","0.00","0","0.00","16","37","45","1.3235","43.24","34","15","69.39","18.94","56","55","17.70","3.6895","1988-06-01","22.29","22.58","9","YAL","5'09","R","2006","-","-","-",""
"SHL","Peter Forsberg","DY+19","1618/peter-forsberg","F","2010","23","0.5652","0.4783","1.0870","7","6","2","13","3","8","3","11","1","0","0","31","22.58","7","42.86","40","27.50","11","25","30","1.3043","41.67","22","9","70.97","9.74","30","19","16.83","3.8743","1973-07-20","37.15","37.45","21","MODO","6'01","L","1991","-","-","-",""
"NCAA","James Marcou","DY+4","19154/james-marcou","F","2010","36","0.5833","0.5000","1.0833","7","14","4","21","4","14","8","18","0","0","0","0","0.00","0","0.00","0","0.00","11","39","51","1.4167","28.21","31","30","50.82","7.45","36","47","20.94","3.1043","1988-02-19","22.57","22.87","19","UMA","5'07","L","2006","-","-","-",""
"NCAA","Chase Polacek","DY+3","21662/chase-polacek","F","2010","39","0.4615","0.4872","1.0769","11","7","1","18","13","6","9","19","2","3","0","0","0.00","0","0.00","0","0.00","26","42","52","1.3333","64.86","21","19","52.50","3.61","44","46","21.61","2.9898","1989-06-19","21.24","21.53","21","REN","5'08","R","2007","-","-","-",""
"NCAA","Michael Davies (86)","DY+5","17191/michael-davies","F","2010","41","0.5854","0.4878","1.0732","12","12","4","24","8","12","4","20","0","0","0","0","0.00","0","0.00","0","0.00","20","44","52","1.2683","45.45","35","23","60.34","- 3.36","79","45","18.05","3.5667","1986-12-10","23.76","24.06","9","WIS","5'08","R","2005","-","-","-",""
"WHL","Cody Eakin","DY+1","25371/cody-eakin","F","2010","70","0.6286","0.3571","1.0714","26","18","5","44","17","8","11","25","4","2","0","0","0.00","0","0.00","0","0.00","47","75","91","1.3000","62.32","62","70","46.97","- 1.92","88","92","17.41","3.6929","1991-05-24","19.31","19.60","21","SC","-","L","2009","WSH (2009) - #85","WSH","BUF",""
"WHL","Jordan Weal","DY","27073/jordan-weal","F","2010","72","0.5694","0.5000","1.0694","20","21","12","41","15","21","13","36","0","0","0","0","0.00","0","0.00","0","0.00","35","77","102","1.4167","45.45","69","60","53.49","13.78","81","123","15.50","4.1405","1992-04-15","18.42","18.71","19","REG","-","R","2010","LAK (2010) - #70","LAK","-",""
"QMJHL","Dmitri Kugryshev","DY+2","22521/dmitri-kugryshev","F","2010","66","0.7121","0.3485","1.0606","21","26","8","47","8","15","9","23","0","0","0","0","0.00","0","0.00","208","13.94","29","70","87","1.3182","41.43","72","52","58.06","7.09","105","101","18.90","3.3676","1990-01-18","20.66","20.95","17","QUE","-","R","2008","WSH (2008) - #58","WSH","-",""
"WHL","Matt Calvert","DY+2","22373/matt-calvert","F","2010","68","0.6618","0.2353","1.0588","28","17","19","45","10","6","8","16","9","2","0","0","0.00","0","0.00","0","0.00","47","72","99","1.4559","62.30","83","43","65.87","3.84","134","82","15.93","3.9874","1989-12-24","20.73","21.02","11","BDN","-","L","2008","CBJ (2008) - #127","CBJ","-",""
"NCAA","Casey Wellman","DY+4","18650/casey-wellman","F","2010","36","0.5833","0.4444","1.0556","12","9","3","21","11","5","4","16","0","1","0","0","0.00","0","0.00","0","0.00","23","38","45","1.2500","62.16","29","30","49.15","4.45","38","47","22.99","2.7545","1987-10-18","22.91","23.20","7","UMA","6'00","R","2006","-","-","-",""
"QMJHL","Nick Petersen","DY+3","21535/nick-petersen","F","2010","59","0.7288","0.3220","1.0508","27","16","12","43","12","7","5","19","0","0","0","0","0.00","0","0.00","179","21.79","39","62","79","1.3390","62.90","75","26","74.26","8.36","114","59","18.63","3.3845","1989-05-27","21.30","21.59","8","SNB","-","R","2007","PIT (2009) - #121","PIT","-",""
"NCAA","Blake Geoffrion","DY+4","19060/blake-geoffrion","F","2010","40","0.5000","0.4750","1.0500","13","7","5","20","15","4","3","19","0","3","0","0","0.00","0","0.00","0","0.00","28","42","50","1.2500","71.79","33","19","63.46","2.81","74","48","20.54","3.0676","1988-02-03","22.62","22.91","5","WIS","6'02","L","2006","NSH (2006) - #56","NSH","-",""
"NCAA","Cam Atkinson","DY+3","21582/cam-atkinson","F","2010","42","0.6190","0.3810","1.0476","17","9","5","26","11","5","4","16","2","0","0","0","0.00","0","0.00","0","0.00","30","44","53","1.2619","66.67","42","18","70.00","9.84","77","51","19.11","3.2894","1989-06-05","21.28","21.57","13","BC","5'08","R","2007","CBJ (2008) - #157","CBJ","PHI",""
